frame_idx,timestamp_sec,x_pixel,y_pixel,x_mm,delta_x_mm,cell_number
307,13.6716,459.7,181.4,1.043,-0.0035,11
308,13.7162,470.5,135.6,0.9795,-0.0635,10
309,13.7607,468.2,166.6,0.9928,0.0133,10
310,13.8052,471.1,124.3,0.9759,-0.0169,10
311,13.8498,487.5,117.3,0.8791,-0.0968,9
312,13.8943,481.7,153.8,0.9138,0.0346,10
313,13.9388,520.8,234.1,0.6838,-0.2299,7
314,13.9834,439.5,191.5,1.1618,0.4779,12
315,14.0279,464.4,169.2,1.0152,-0.1466,11
316,14.0724,464.6,168.6,1.0139,-0.0013,-1
317,14.117,447.5,117.9,1.1145,0.1007,12
318,14.1615,486.4,204.4,0.8861,-0.2284,9
319,14.206,487.4,205.3,0.8799,-0.0062,-1
320,14.2506,488.5,206.2,0.8738,-0.0062,-1
321,14.2951,524.4,288.4,0.6626,-0.2112,7
322,14.3396,526.7,292.3,0.6488,-0.0138,-1
323,14.3842,367.5,206.2,1.5854,0.9366,16
324,14.4287,419.3,143.2,1.2809,-0.3045,13
325,14.4732,430.0,172.7,1.2176,-0.0633,13
326,14.5178,434.5,125.8,1.1912,-0.0263,12
327,14.5623,477.4,91.3,0.9388,-0.2525,10
328,14.6068,464.6,65.4,1.0144,0.0756,11
329,14.6514,346.7,47.9,1.7078,0.6934,18
330,14.6959,274.5,42.9,2.1326,0.4248,22
331,14.7404,212.6,63.2,2.4964,0.3638,25
332,14.785,203.7,59.3,2.5485,0.0522,-1
333,14.8295,248.9,39.1,2.2827,-0.2658,23
334,14.874,242.1,34.6,2.3229,0.0402,-1
335,14.9186,235.3,30.1,2.363,0.0402,-1
336,14.9631,171.5,31.7,2.7382,0.3751,28
337,15.0076,129.4,22.9,2.986,0.2479,30
338,15.0522,106.3,25.8,3.1219,0.1359,32
339,15.0967,122.6,32.1,3.0258,-0.0962,31
340,15.1412,166.2,21.1,2.7697,-0.2561,28
341,15.1858,249.3,108.9,2.2807,-0.4889,23
342,15.2303,201.3,91.9,2.5627,0.282,26
343,15.2748,306.4,122.8,1.9447,-0.618,20
344,15.3194,375.5,207.3,1.5384,-0.4064,16
345,15.3639,400.5,238.4,1.391,-0.1474,14
346,15.4084,430.2,279.1,1.2162,-0.1747,13
347,15.453,453.3,310.6,1.0806,-0.1356,11
348,15.4975,434.9,237.4,1.1886,0.108,12
349,15.542,472.2,292.4,0.9692,-0.2194,10
350,15.5866,501.4,334.9,0.7974,-0.1719,8
351,15.6311,524.2,367.8,0.6633,-0.1341,7
352,15.6756,555.4,400.4,0.4803,-0.183,5
353,15.7202,531.0,351.6,0.6234,0.1431,7
354,15.7647,514.6,328.2,0.7201,0.0968,8
355,15.8092,425.4,252.8,1.2444,0.5243,13
356,15.8538,475.3,211.2,0.9515,-0.293,10
357,15.8983,502.8,267.5,0.7894,-0.162,8
358,15.9428,537.7,322.1,0.584,-0.2055,6
359,15.9874,563.9,364.5,0.43,-0.154,5
360,16.0319,570.6,389.3,0.3907,-0.0393,4
361,16.0764,575.8,408.3,0.3602,-0.0305,4
362,16.121,595.1,336.2,0.2467,-0.1134,3
363,16.1655,455.8,255.0,1.0658,0.8191,11
364,16.21,457.4,268.4,1.0564,-0.0094,11
365,16.2546,458.0,278.0,1.053,-0.0034,11
366,16.2991,503.5,224.4,0.7851,-0.268,8
367,16.3436,493.5,242.8,0.8442,0.0592,9
368,16.3882,531.1,193.9,0.6227,-0.2215,7
369,16.4327,544.3,256.1,0.5455,-0.0772,6
370,16.4772,554.8,304.2,0.4833,-0.0622,5
371,16.5218,528.3,288.3,0.6396,0.1562,7
372,16.5663,528.8,331.6,0.6362,-0.0034,7
373,16.6108,535.3,366.4,0.5985,-0.0377,6
374,16.6554,512.7,336.2,0.7311,0.1326,8
375,16.6999,529.7,366.1,0.631,-0.1001,7
376,16.7444,415.8,277.4,1.301,0.67,14
377,16.789,328.5,218.9,1.8145,0.5135,19
378,16.8335,385.9,276.4,1.477,-0.3375,15
379,16.878,431.5,322.2,1.2086,-0.2684,13
380,16.9226,454.3,355.9,1.0746,-0.134,11
381,16.9671,484.3,383.8,0.8982,-0.1763,9
382,17.0116,507.6,405.4,0.7613,-0.1369,8
383,17.0562,496.4,381.8,0.8269,0.0656,9
384,17.1007,386.7,295.4,1.4723,0.6454,15
385,17.1452,402.5,296.2,1.3796,-0.0928,14
386,17.1897,329.0,222.4,1.8119,0.4323,19
387,17.2343,370.6,278.9,1.567,-0.2448,16
388,17.2788,318.1,209.0,1.8761,0.309,19
389,17.3233,370.8,270.2,1.5659,-0.3101,16
390,17.3679,431.7,321.6,1.2078,-0.3581,13
391,17.4124,480.6,361.7,0.9199,-0.2879,10
392,17.4569,519.6,392.7,0.6905,-0.2294,7
393,17.5015,527.8,412.9,0.6425,-0.0481,7
